
UC;OLD_NIO;NEW_NIO;DATA
104518642;44000660;44000660;6/24/2024
23654708;44000654;44000654;6/24/2024
35639598;44000655;44000655;6/24/2024
59241632;44252077;44252077;6/24/2024
110861019;44250771;44250771;6/24/2024
37959875;44252403;44252403;6/24/2024
89847440;44000651;44000651;6/24/2024
44507348;44250779;44250779;6/24/2024
49274970;44250773;44250773;6/24/2024
86613685;44251733;44251733;6/21/2024
89360680;44251708;44251708;6/21/2024
80702473;44251673;44251673;6/21/2024
74504150;44251672;44251672;6/21/2024
87032562;44251675;44251675;6/21/2024
79587372;44000789;44000789;6/21/2024
75516012;44000731;44000731;6/21/2024
81691041;44250449;44250449;6/21/2024
88541045;44250450;44250450;6/21/2024
90344715;44250445;44250445;6/21/2024
49030639;44250441;44250441;6/21/2024
79084370;44000733;44000733;6/21/2024
66491088;44250448;44250448;6/21/2024
90153197;44250125;44250125;6/21/2024
85120332;44251756;44251756;6/26/2024
79212808;44252007;44252007;6/28/2024
86823442;44250563;44250563;6/28/2024
91706394;44252128;44252128;6/28/2024
79802338;44000312;44000312;6/28/2024
53292081;44000697;44000697;6/26/2024
8363854;44252602;44252602;6/26/2024
99383560;44251752;44251752;6/26/2024
99383659;44250493;44250493;6/26/2024
93462719;44250496;44250496;6/26/2024
99432234;44250498;44250498;6/26/2024
99383470;44251751;44251751;6/26/2024
90009401;44250495;44250495;6/26/2024
99383411;44250492;44250492;6/26/2024
99383446;44250499;44250499;6/26/2024
99383535;44250497;44250497;6/26/2024
91995337;44250500;44250500;6/26/2024
93347669;44250494;44250494;6/26/2024
93630018;44251755;44251755;6/26/2024
93837755;44251747;44251747;6/26/2024
95694854;44250112;44250112;6/26/2024
78797390;44251725;44251725;6/26/2024
78750989;44251717;44251717;6/26/2024
76631800;44252029;44252029;6/26/2024
78797020;44251723;44251723;6/26/2024
78069734;44000974;44000974;6/26/2024
86047892;44000740;44000740;6/26/2024
65565665;44000972;44000972;6/26/2024
74676288;44251718;44251718;6/26/2024
75771462;44251720;44251720;6/26/2024
30821509;44250024;44250024;6/26/2024
8364982;44000736;44000736;6/26/2024
89856139;44251702;44251702;6/27/2024
8375160;44570016;44570016;6/21/2024
111048630;44252369;44252369;6/24/2024
107563312;44251937;44251937;6/21/2024
107858614;44251700;44251700;6/27/2024
52919730;44570083;44570083;9/6/2024
48068373;44000602;44000602;6/27/2024
88534634;44250072;44250072;6/21/2024
83669663;44250012;44250012;6/26/2024
88615880;44250019;44250019;6/26/2024
77764315;44250020;44250020;6/26/2024
73559709;44250011;44250011;6/26/2024
86399799;44250015;44250015;6/26/2024
76335780;44250016;44250016;6/26/2024
70055459;44250892;44250892;6/24/2024
8403945;44000249;44000249;6/20/2024
101070802;44000242;44000242;6/26/2024
100978673;44000783;44000783;6/20/2024
101123159;44000788;44000788;6/20/2024
101128029;44000787;44000787;6/27/2024
57347204;44250058;44250058;6/21/2024
87538865;44251690;44251690;6/21/2024
28084705;44000244;44000244;6/21/2024
100650007;44000247;44000247;6/27/2024
100901948;44000243;44000243;6/27/2024
100946984;44000786;44000786;6/20/2024
100947018;44000784;44000784;6/27/2024
87579952;44000141;44000141;6/27/2024
81836678;44000148;44000148;6/21/2024
68636970;44250041;44250041;6/28/2024
81038488;44250049;44250049;6/28/2024
68636792;44252161;44252161;6/28/2024
98030310;44251724;44251724;6/28/2024
90497430;44250405;44250405;6/26/2024
87715945;44251953;44251953;6/26/2024
84471263;44250455;44250455;6/24/2024
81738218;44250454;44250454;6/25/2024
83836373;44250410;44250410;6/26/2024
76304337;44250404;44250404;6/26/2024
90119380;44250408;44250408;6/26/2024
59736950;44250406;44250406;6/26/2024
65281586;44250459;44250459;6/25/2024
70529922;44252160;44252160;6/28/2024
76931714;44250048;44250048;6/28/2024
68637950;44250050;44250050;6/28/2024
89461169;44252162;44252162;6/28/2024
73986828;44251669;44251669;6/21/2024
70547521;44251709;44251709;6/21/2024
76638146;44251671;44251671;6/21/2024
75248778;44251670;44251670;6/21/2024
83671390;44251730;44251730;6/21/2024
76384012;44251728;44251728;6/21/2024
84910682;44251729;44251729;6/21/2024
70783810;44251736;44251736;6/21/2024
83112189;44251711;44251711;6/21/2024
77817265;44251674;44251674;6/21/2024
37583255;44252548;44252548;6/24/2024
86172492;44251770;44251770;6/28/2024
85985503;44251769;44251769;6/28/2024
77209664;44251775;44251775;6/28/2024
77237030;44251772;44251772;6/28/2024
83399453;44250136;44250136;6/28/2024
78887267;44250137;44250137;6/28/2024
77639537;44250139;44250139;6/28/2024
77261844;44250133;44250133;6/28/2024
77355199;44251776;44251776;6/28/2024
77227603;44250140;44250140;6/28/2024
84017244;44250134;44250134;6/28/2024
80901522;44251767;44251767;6/28/2024
87197502;44250132;44250132;6/28/2024
80453384;44251773;44251773;6/28/2024
89138651;44251972;44251972;6/27/2024
72231688;44251975;44251975;6/28/2024
72345594;44251976;44251976;6/28/2024
86025589;44251970;44251970;6/27/2024
72750995;44250412;44250412;6/28/2024
82690146;44251967;44251967;6/27/2024
88647773;44250413;44250413;6/28/2024
81299044;44250411;44250411;6/28/2024
72364947;44251971;44251971;6/27/2024
87335506;44250418;44250418;6/28/2024
78644933;44251974;44251974;6/27/2024
79054676;44250138;44250138;6/28/2024
87917041;44251968;44251968;6/27/2024
101915225;44251663;44251663;6/24/2024
74323091;44252279;44252279;6/24/2024
75588625;44252183;44252183;6/24/2024
81516037;44251750;44251750;6/26/2024
81483872;44250120;44250120;6/27/2024
81660138;44250491;44250491;6/26/2024
81724730;44251749;44251749;6/26/2024
86882473;44250117;44250117;6/26/2024
86866460;44251754;44251754;6/26/2024
81526156;44251748;44251748;6/26/2024
86451316;44251753;44251753;6/26/2024
86925946;44250114;44250114;6/26/2024
94582815;44250167;44250167;6/26/2024
93590091;44251983;44251983;6/26/2024
95464123;44250168;44250168;6/26/2024
94109346;44251694;44251694;6/27/2024
64034739;44250034;44250034;6/26/2024
71283102;44000313;44000313;6/21/2024
61437298;44000314;44000314;6/26/2024
78057205;44000543;44000543;6/27/2024
94781109;44250035;44250035;6/21/2024
94787883;44250037;44250037;6/21/2024
94857075;44250038;44250038;6/21/2024
94856974;44250040;44250040;6/21/2024
28254376;44250036;44250036;6/21/2024
87082357;44000592;44000592;6/20/2024
86352628;44000147;44000147;6/20/2024
81836686;44000144;44000144;6/20/2024
77411293;44000146;44000146;6/21/2024
81631855;44000598;44000598;6/21/2024
89310292;44000878;44000878;6/24/2024
84763299;44000875;44000875;6/24/2024
8375194;44000597;44000597;6/27/2024
74016300;44251760;44251760;6/26/2024
19841949;44000591;44000591;6/26/2024
91209498;44252030;44252030;6/26/2024
46011510;44250452;44250452;6/25/2024
23047321;44252577;44252577;6/24/2024
88604080;44252583;44252583;6/24/2024
31686443;44252582;44252582;6/24/2024
75219034;44000981;44000981;6/24/2024
89010540;44252218;44252218;6/28/2024
8365113;44000700;44000700;6/26/2024
8365121;44000695;44000695;6/26/2024
72945109;44252165;44252165;6/28/2024
101158777;44251726;44251726;6/27/2024
68641966;44252219;44252219;6/28/2024
8365105;44250135;44250135;6/28/2024
85961302;44250045;44250045;6/27/2024
84944749;44250043;44250043;6/28/2024
94438358;44252066;44252066;6/28/2024
91491088;44251710;44251710;6/21/2024
101848463;44251906;44251906;6/24/2024
74509969;44000151;44000151;6/24/2024
95721606;44250067;44250067;6/24/2024
102694354;44252090;44252090;6/24/2024
102729719;44250031;44250031;6/26/2024
89420004;44252148;44252148;6/24/2024
33641404;44252150;44252150;6/24/2024
102715041;44252088;44252088;6/24/2024
102670269;44252156;44252156;6/24/2024
102628980;44250182;44250182;6/24/2024
102627304;44252092;44252092;6/24/2024
27193390;44000919;44000919;6/24/2024
79940650;44250032;44250032;6/26/2024
84017821;44252604;44252604;6/26/2024
73028827;44000699;44000699;6/26/2024
84729511;44252603;44252603;6/26/2024
60459280;44252600;44252600;6/26/2024
67354505;44251820;44251820;6/26/2024
31847188;44000688;44000688;6/26/2024
86347896;44250170;44250170;6/26/2024
8402272;44251879;44251879;6/24/2024
8390584;44252648;44252648;6/24/2024
50675320;44000873;44000873;6/24/2024
71686983;44252653;44252653;6/24/2024
60013974;44000879;44000879;6/24/2024
72532203;44000674;44000674;6/28/2024
8364958;44000678;44000678;6/27/2024
88967700;44250886;44250886;6/24/2024
106679163;44250081;44250081;6/27/2024
8388911;44250519;44250519;6/24/2024
81923520;44000927;44000927;6/24/2024
79472656;44251695;44251695;6/21/2024
8388768;44000922;44000922;6/24/2024
8388849;44251688;44251688;6/21/2024
100276601;44252045;44252045;6/24/2024
100666884;44000723;44000723;6/24/2024
100640877;44251836;44251836;6/24/2024
100241964;44251719;44251719;6/28/2024
105583006;44252061;44252061;6/28/2024
112097413;44251721;44251721;6/28/2024
98030558;44252126;44252126;6/28/2024
98031082;44252065;44252065;6/28/2024
98030728;44252117;44252117;6/28/2024
108184900;44252144;44252144;6/27/2024
98030841;44252118;44252118;6/28/2024
98590766;44251788;44251788;6/28/2024
111748755;44252119;44252119;6/27/2024
100241492;44251791;44251791;6/28/2024
102329303;44250457;44250457;6/26/2024
102349126;44251787;44251787;6/28/2024
97974463;44250407;44250407;6/26/2024
98029622;44250401;44250401;6/26/2024
98029517;44251948;44251948;6/26/2024
97973696;44252060;44252060;6/28/2024
98029304;44251947;44251947;6/26/2024
98029770;44251952;44251952;6/26/2024
98029878;44252121;44252121;6/27/2024
97973483;44252064;44252064;6/28/2024
98030205;44250023;44250023;6/27/2024
98030094;44252120;44252120;6/27/2024
98030027;44252123;44252123;6/27/2024
101821930;44251790;44251790;6/27/2024
97914703;44251794;44251794;6/26/2024
97914789;44250456;44250456;6/26/2024
97913510;44251795;44251795;6/27/2024
97914614;44250403;44250403;6/26/2024
97914576;44252142;44252142;6/27/2024
98030469;44252137;44252137;6/27/2024
97914860;44251792;44251792;6/26/2024
97913359;44252145;44252145;6/27/2024
97914088;44250402;44250402;6/26/2024
97856711;44250008;44250008;6/28/2024
97975060;44252143;44252143;6/28/2024
97857050;44252146;44252146;6/27/2024
97856819;44252138;44252138;6/27/2024
97854565;44250009;44250009;6/28/2024
97857254;44252141;44252141;6/27/2024
97856916;44250003;44250003;6/28/2024
97912751;44250460;44250460;6/26/2024
97912883;44250409;44250409;6/26/2024
97913200;44251789;44251789;6/27/2024
97913081;44252140;44252140;6/27/2024
97811017;44250453;44250453;6/26/2024
100037755;44252125;44252125;6/27/2024
100485839;44250010;44250010;6/28/2024
107807734;44252023;44252023;6/21/2024
108235734;44252022;44252022;6/21/2024
20663943;44250766;44250766;6/24/2024
108006654;44252017;44252017;6/21/2024
108621561;44252005;44252005;6/26/2024
107720000;44252018;44252018;6/21/2024
111785839;44250130;44250130;6/21/2024
107883031;44251943;44251943;6/21/2024
109543009;44252006;44252006;6/26/2024
108116620;44252020;44252020;6/21/2024
107778335;44251697;44251697;6/27/2024
