
UC;NEW_NIO;OLD_NIO;DATA
68261110;44014643;264702299;10/25/2024
73150460;44284091;422976640;10/1/2024
82978247;44286947;282743469;10/28/2024
93392338;44015683;351702417;10/23/2024
92935753;45461564;324333435;10/23/2024
92935745;45764942;333140513;10/23/2024
103574670;45291195;373332833;10/23/2024
89330706;45001254;253500632;10/28/2024
87143518;45001267;244701967;10/28/2024
33203296;45290759;952831063;10/23/2024
104897082;44253735;392331253;10/28/2024
82569134;44259262;272230988;10/23/2024
52615278;45458591;421077898;10/28/2024
101897219;45000206;360201784;10/23/2024
87164922;45764648;221342913;10/28/2024
68261004;44014638;262318801;10/25/2024
8101922;44287046;340634449;10/28/2024
58693564;45290747;212132382;10/23/2024
88520625;45290817;302030004;10/23/2024
113576340;44253518;44253518;9/27/2024
84159111;44023526;294404912;10/23/2024
103297057;45460099;373333080;10/18/2024
61294845;44014383;270116074;10/28/2024
62177320;44018165;904400755;10/23/2024
95162070;44278311;333633909;10/16/2024
94088160;45459522;331131933;10/18/2024
89614127;45459516;330330060;10/18/2024
94088209;45459515;331131934;10/18/2024
107403188;45001231;400103975;10/28/2024
74370987;45000229;342402306;10/23/2024
93617313;45459518;331131435;10/18/2024
113253885;44005131;44005131;8/29/2024
26537745;45000543;931001733;10/23/2024
86405330;45256995;301132303;10/18/2024
70944717;44014374;411873366;10/23/2024
61471925;44015774;753101538;10/25/2024
93610998;44715403;323341812;10/28/2024
91005892;44015686;290411773;10/23/2024
75558343;45000299;274712448;10/28/2024
103246649;45460101;371732416;10/18/2024
99516217;45000318;270124310;10/28/2024
8105928;45290753;933430878;10/23/2024
98605356;44282681;353230978;10/28/2024
80846629;44287040;401172419;10/28/2024
71683593;44294342;370533272;10/28/2024
97333182;45461850;430778325;10/28/2024
82535256;45290835;421077941;10/23/2024
91217520;44014871;311607429;10/28/2024
113474423;44255095;44255095;9/12/2024
92998232;45461558;324331898;10/23/2024
85771953;44253734;981930856;10/28/2024
113438567;44005097;44005097;8/29/2024
45121508;44014769;203616780;10/25/2024
87009161;44021451;872011490;10/25/2024
80717233;45290819;291531987;10/23/2024
74230085;44019308;273200250;10/28/2024
113504330;44252814;44252814;9/12/2024
102506272;45001253;411873415;10/28/2024
95764755;44287049;340730718;10/28/2024
56206046;44013768;822211947;10/23/2024
113449968;44252839;44252839;8/30/2024
55823327;45764976;372140180;10/28/2024
104183128;45460100;271732539;10/18/2024
52999726;45000541;234303175;10/23/2024
102990654;45700351;323340813;10/28/2024
113443269;44252709;44252709;8/29/2024
86006339;44016776;260303463;10/25/2024
8334730;44023509;294405302;10/23/2024
8334811;44266102;920431795;10/23/2024
72125594;44012503;243805218;10/23/2024
8358907;45700353;341843734;10/28/2024
51391015;45001257;762902550;10/28/2024
93038429;45461562;324331596;10/23/2024
55319688;44021445;772003993;10/25/2024
87126532;44015938;962806118;10/25/2024
80523005;44017509;290409322;10/23/2024
20958790;44018249;762902477;10/23/2024
61846287;44016784;820207840;10/25/2024
107688581;45459130;393333277;10/18/2024
104962208;45459964;392331137;10/18/2024
67873162;44015183;214005786;10/28/2024
94735840;44294723;312830860;10/28/2024
21247420;44015679;743400014;10/23/2024
68942710;44259575;361832683;10/23/2024
107688611;45459133;393333279;10/18/2024
97172405;44254080;324331151;10/23/2024
96785187;44254059;341830379;10/28/2024
66657210;44014641;430473760;10/25/2024
8339295;44275027;343233091;10/23/2024
76070484;44266099;280932214;10/23/2024
91167388;45257017;280431173;10/18/2024
70967199;44014369;232201154;10/23/2024
113515901;44252670;44252670;9/16/2024
40158438;44023525;694872534;10/23/2024
27867587;45700352;933640681;10/28/2024
48564753;44023543;852106331;10/23/2024
68663455;45000285;253500607;10/28/2024
8342792;44015765;831114167;10/25/2024
87137593;45459701;331231986;10/23/2024
93536259;44015682;301107931;10/23/2024
70330913;44015201;780600980;10/28/2024
102921750;45459520;373333726;10/18/2024
92690912;44287090;311332284;10/23/2024
84089474;44252853;373530029;10/15/2024
52725200;44019325;203704121;10/28/2024
81491301;44015191;280302699;10/28/2024
101071787;45459132;360131406;10/18/2024
107612054;45459128;401630766;10/18/2024
94098808;45764941;411379095;10/23/2024
