
UC;NEW_NIO;OLD_NIO;DATA
98275682;45457678;312830287;10/15/24
81659539;45457683;412577713;10/15/24
99108127;45457732;412577697;10/15/24
92034616;45457728;244433421;10/15/24
57673187;44710990;401042873;10/15/24
21156433;45252183;962733556;10/15/24
109484754;44710988;351442803;10/15/24
110925130;44709190;413279465;10/15/24
8436690;44709191;860441655;10/15/24
19734212;45252182;351732203;10/15/24
70798036;45458739;900431987;10/15/24
8214611;44714965;854541540;10/15/24
48553514;44714963;882040866;10/15/24
63444909;45460435;842030378;10/15/24
67699200;45460439;842030088;10/15/24
75336510;44714962;933640965;10/15/24
45588716;44715461;412580914;10/15/24
8214689;45460437;963530917;10/15/24
8208140;45460441;390231473;10/15/24
51415747;45460438;240931974;10/15/24
95545468;45460443;340730595;10/15/24
85334120;45460436;294732880;10/15/24
91521343;45461360;312932639;10/15/24
91664861;45461361;312932697;10/15/24
91483557;45461362;312131248;10/15/24
96255269;45457598;331931723;10/15/24
99520613;45457600;392330396;10/15/24
86423550;45457596;381530381;10/15/24
97020478;45457601;341834185;10/15/24
84563885;44257303;361832731;10/15/24
72300302;44257270;372931384;10/15/24
78819423;44257277;252230026;10/15/24
80906745;45257273;224132784;10/15/24
99401541;45461395;352430800;10/15/24
104599910;45461404;381332297;10/15/24
99250101;45461397;352432783;10/15/24
109740009;45461398;414377372;10/15/24
108767213;45461402;410879589;10/15/24
99514826;45461400;352430775;10/15/24
100325513;45461399;352531578;10/15/24
100720501;45461396;360131655;10/15/24
98225677;44711574;342642099;10/15/24
73777331;44715471;244740716;10/15/24
76450503;44715470;281641077;10/15/24
8136980;45458605;803530430;10/15/24
102726809;45458609;372930548;10/15/24
103532498;45458614;373530446;10/15/24
110078977;44714974;413179968;10/15/24
110053320;45458606;415578500;10/15/24
91378168;45257736;312131197;10/15/24
91159245;45257732;324331971;10/15/24
91296676;45257739;312934058;10/15/24
92297196;45257731;312934022;10/15/24
93091133;45257737;324331473;10/15/24
93588143;45257735;330330356;10/15/24
95398660;45257733;282730974;10/15/24
99967383;45257738;312831442;10/15/24
102941530;45458931;373333824;10/15/24
103685561;45255484;370732370;10/15/24
109353587;45255482;412876064;10/15/24
106329022;45458930;390232102;10/15/24
104938200;45458926;392331009;10/15/24
109019695;45458933;411376580;10/15/24
104302780;45458394;381230563;10/15/24
109259750;45255481;411976754;10/15/24
108962105;45255489;414377330;10/15/24
103199667;45255483;371732405;10/15/24
109016939;45255514;411377004;10/15/24
101897057;45254837;361831212;10/15/24
80938728;45459912;312831669;10/15/24
97771864;45459913;350134366;10/15/24
99150263;45459909;423276380;10/15/24
89141334;44711222;301641995;10/15/24
39180379;45460406;982531095;10/15/24
75559722;45460405;282743689;10/15/24
36132420;45460414;412477234;10/15/24
51603470;44711724;223142184;10/15/24
20494190;45460397;270130863;10/15/24
83386378;44711726;880841230;10/15/24
8332053;45460412;810835254;10/15/24
8213810;45257121;980432760;10/15/24
36936502;44714596;413279939;10/15/24
55852190;45257125;324331741;10/15/24
67561535;44714597;333140015;10/15/24
47606916;45257724;222632070;10/15/24
8214182;45257727;361832765;10/15/24
61158771;45257721;250233517;10/15/24
24065919;45458620;370532847;10/15/24
86302272;45458622;940630324;10/15/24
78685796;45458616;282630774;10/15/24
8212899;45458619;200530819;10/15/24
74536303;45458615;252230122;10/15/24
29045975;44715063;331940727;10/15/24
8212872;45458731;940534013;10/15/24
110901142;45251862;421276974;10/15/24
112040861;45251866;430378945;10/15/24
108634388;44715340;420579576;10/15/24
96426233;45251868;200530075;10/15/24
98799860;45251869;312831477;10/15/24
72769890;45458306;273330520;10/15/24
90842243;45458307;312833617;10/15/24
54675537;45458312;961633193;10/15/24
109568826;44715344;401573054;10/15/24
101369123;45257788;361732566;10/15/24
40365581;45257785;403472584;10/15/24
76577104;45257781;324333484;10/15/24
46288139;44710992;371172735;10/15/24
46288120;44710996;371172733;10/15/24
97619035;45257784;342642157;10/15/24
35375973;45257789;350330196;10/15/24
28067320;44715299;933640576;10/15/24
29517028;44715584;882042532;10/15/24
8332606;45460040;864231492;10/15/24
79789340;44715582;893242843;10/15/24
8332436;45460044;952730093;10/15/24
32757883;44710921;880841280;10/15/24
31334210;45458651;392732304;10/15/24
33423210;45458649;410677652;10/15/24
56980183;44714942;390872937;10/15/24
76461068;44714939;390872907;10/15/24
36450790;44714938;961541082;10/15/24
